,Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Monthly payment,Credit event,Married,Homeowner,y_hat,pred_default
0,34,55,4875,3087,0,36,0.04789473684210526,0,1,1,0,0.8548199997755538
1,5,29,13000,13000,0,60,0.09166666666666666,0,0,0,0,0.6904169544308338
2,14,38,17190,14190,0,60,0.08823529411764706,0,0,0,0,0.8038893712206953
3,16,37,22773,23568,0,48,0.1100843712334271,0,1,1,0,0.8428063606449834
4,1,61,7700,8526,0,48,0.1234042553191489,0,1,0,0,0.6553571589511995
5,17,50,10250,5750,0,48,0.1101694915254237,0,0,1,0,0.8374665185480854
6,8,45,8050,6050,0,48,0.06043478260869565,0,0,0,0,0.7902226088247621
7,10,51,9950,9610,0,60,0.06974358974358974,0,0,0,0,0.7619858369640913
8,1,28,3890,4306,0,36,0.07470588235294118,1,1,0,0,0.5875543177217948
9,1,28,10790,11954,0,84,0.1108843537414966,0,0,0,0,0.5770991896126578
10,6,36,15589,9366,0,48,0.08584589614740369,0,1,0,0,0.8517045916094679
11,3,67,15990,15487,0,48,0.06,0,0,0,0,0.746420188035321
12,2,48,13400,11800,0,96,0.1808252427184466,0,0,0,0,0.5958187742216695
13,5,39,25790,25901,0,60,0.09172126265634306,0,1,0,0,0.7123645575148752
14,15,53,3400,3400,0,24,0.06772727272727273,1,1,1,0,0.7541374737756652
15,1,30,18400,13169,0,36,0.5555555555555556,0,0,0,0,0.6093522372387722
16,5,23,24250,20594,0,48,0.1633333333333333,0,0,0,0,0.6448711855493867
17,3,22,9078,9909,0,60,0.09076923076923077,0,0,1,0,0.6281001438842329
18,0,25,15990,17302,0,60,0.1584615384615385,0,0,0,0,0.5488768294190394
19,44,60,13800,11808,0,72,0.07102040816326531,0,1,1,0,0.8457981820049382
20,0,30,6990,5433,0,60,0.08169934640522876,0,1,0,0,0.6132188671239451
21,8,32,16120,11448,0,60,0.05441860465116279,0,0,1,0,0.7937786560828207
22,26,58,14990,10690,0,72,0.11,0,0,1,0,0.759243866347397
23,3,26,14140,4840,1,12,0.2985714285714286,0,1,1,0,0.7097545509840246
24,10,61,8600,8600,0,36,0.1770034843205575,0,1,1,0,0.8565376043531778
25,4,67,2986,2986,0,12,0.1953846153846154,0,1,0,0,0.7826976462971762
26,44,61,19312,19312,0,72,0.1204,0,1,0,0,0.7629890825940177
27,0,24,10990,10000,0,60,0.08357142857142857,0,0,0,0,0.6144391874981692
28,5,51,13600,13600,0,48,0.02446428571428571,0,1,1,0,0.8419659381124861
29,2,29,8200,7352,0,84,0.076103500761035,0,0,0,0,0.6523299880952074
30,2,49,5950,5753,0,60,0.08917748917748917,0,1,0,0,0.7028044700623723
31,9,71,22830,12330,0,36,0.06666666666666667,0,1,0,0,0.8023635368082878
32,4,53,14900,13500,0,72,0.1085,0,1,0,0,0.7851123000486211
33,14,41,16200,17569,0,60,0.09615384615384616,0,1,1,0,0.8382973281234848
34,4,44,9289,9289,0,48,0.071,0,0,0,0,0.7524810522931644
35,22,49,11000,10843,0,60,0.124282982791587,0,0,0,0,0.7225052888781915
36,16,45,24000,25792,0,96,0.1048387096774194,0,1,1,0,0.8090543053388694
37,25,58,18538,9273,0,60,0.05581395348837209,0,1,0,0,0.7976162192922702
38,40,61,8400,8400,0,60,0.03422222222222222,0,1,0,0,0.7844322296353293
39,6,36,17300,20403,0,84,0.06529382219989954,0,1,1,0,0.8394076796616617
40,27,56,12049,13585,0,60,0.1363636363636364,0,1,1,0,0.8369199287884628
41,21,40,6752,6752,0,36,0.05934455270150576,0,1,1,0,0.8630243779346565
42,4,47,6990,7700,0,72,0.09968602825745683,0,1,0,0,0.7475173754899422
43,15,52,27985,27985,0,72,0.1028235294117647,0,0,1,0,0.7900602565396379
44,1,47,16500,14565,0,72,0.09043478260869565,0,0,0,0,0.6991702355567936
45,1,22,8500,8500,0,48,0.05555555555555555,0,0,0,0,0.6572964905479037
46,3,23,16250,13785,0,60,0.08555555555555555,0,0,0,0,0.7135469462335384
